OrderID,OrderDate,CustomerID,ProductID,Quantity,Discount,ShipMode
ORD-10033,2025-01-29,C016,P001,2,0.0,Express
ORD-10034,2025-01-30,C012,P001,2,0.0,Standard
ORD-10035,2025-01-30,C016,P003,3,0.1,Standard
ORD-10036,2025-01-30,C020,P011,5,0.1,Standard
ORD-10037,2025-01-31,C008,P009,1,0.05,Standard
ORD-10038,2025-02-02,C036,P003,3,0.0,Standard
ORD-10039,2025-02-02,C021,P011,4,0.1,Express
ORD-10040,2025-02-03,C044,P006,4,0.05,Express
ORD-10041,2025-02-03,C030,P006,2,0.0,Standard
ORD-10042,2025-02-04,C027,P012,2,0.05,Standard
ORD-10043,2025-02-05,C029,P001,1,0.0,Standard
ORD-10044,2025-02-06,C010,P003,1,0.0,Same Day
ORD-10045,2025-02-06,C043,P008,3,0.0,Standard
ORD-10046,2025-02-08,C007,P003,4,0.0,Express
ORD-10047,2025-02-09,C044,P009,2,0.0,Express
ORD-10048,2025-02-09,C060,P003,5,0.0,Standard
ORD-10049,2025-02-09,C046,P002,1,0.0,Standard
ORD-10050,2025-02-09,C028,P003,2,0.15,Standard
ORD-10051,2025-02-10,C019,P005,1,0.0,Express
ORD-10052,2025-02-10,C053,P003,2,0.0,Standard
ORD-10053,2025-02-11,C016,P002,3,0.0,Express
ORD-10054,2025-02-11,C029,P011,1,0.1,Express
ORD-10055,2025-02-11,C047,P004,1,0.05,Express
ORD-10056,2025-02-12,C056,P004,4,0.15,Standard
ORD-10057,2025-02-12,C056,P001,2,0.0,Standard
ORD-10058,2025-02-13,C006,P004,1,0.0,Express
ORD-10059,2025-02-14,C054,P003,2,0.05,Standard
ORD-10060,2025-02-14,C007,P008,3,0.0,Express
ORD-10061,2025-02-14,C036,P003,3,0.1,Standard
ORD-10062,2025-02-16,C056,P011,6,0.1,Standard
ORD-10063,2025-02-16,C040,P012,3,0.0,Express
ORD-10064,2025-02-18,C057,P002,1,0.15,Standard
ORD-10065,2025-02-20,C021,P002,2,0.05,Standard
ORD-10066,2025-02-22,C019,P002,2,0.0,Standard
ORD-10067,2025-02-23,C020,P008,3,0.0,Standard
ORD-10068,2025-02-24,C022,P002,2,0.0,Express
ORD-10069,2025-02-24,C041,P011,6,0.1,Standard
ORD-10070,2025-02-25,C028,P010,9,0.0,Standard
ORD-10071,2025-02-27,C045,P010,3,0.0,Standard
ORD-10072,2025-02-27,C025,P006,2,0.05,Same Day
ORD-10073,2025-03-04,C019,P012,4,0.0,Standard
ORD-10074,2025-03-06,C012,P001,1,0.0,Same Day
ORD-10075,2025-03-09,C034,P005,1,0.05,Express
ORD-10076,2025-03-09,C054,P004,1,0.0,Standard
ORD-10077,2025-03-09,C052,P012,2,0.0,Express
ORD-10078,2025-03-09,C016,P007,2,0.0,Express
ORD-10079,2025-03-10,C029,P010,9,0.0,Standard
ORD-10080,2025-03-11,C043,P003,4,0.0,Standard
ORD-10081,2025-03-14,C037,P012,2,0.1,Express
ORD-10082,2025-03-15,C005,P006,1,0.15,Express
ORD-10083,2025-03-15,C036,P006,1,0.0,Express
ORD-10084,2025-03-15,C003,P012,2,0.15,Same Day
ORD-10085,2025-03-16,C007,P004,3,0.05,Standard
ORD-10086,2025-03-17,C040,P004,4,0.05,Express
ORD-10087,2025-03-17,C007,P008,4,0.05,Express
ORD-10088,2025-03-17,C021,P002,1,0.05,Standard
ORD-10089,2025-03-17,C036,P004,3,0.1,Standard
ORD-10090,2025-03-18,C040,P003,2,0.0,Standard
ORD-10091,2025-03-19,C027,P002,1,0.0,Express
ORD-10092,2025-03-20,C006,P011,4,0.0,Standard
ORD-10093,2025-03-20,C048,P008,1,0.0,Express
ORD-10094,2025-03-21,C057,P004,2,0.05,Standard
ORD-10095,2025-03-21,C054,P005,2,0.0,Standard
ORD-10096,2025-03-22,C045,P005,1,0.0,Express
ORD-10097,2025-03-22,C025,P008,3,0.0,Standard
ORD-10098,2025-03-23,C053,P012,3,0.0,Express
ORD-10099,2025-03-24,C030,P012,4,0.05,Standard
ORD-10100,2025-03-25,C009,P004,1,0.05,Same Day
ORD-10101,2025-03-25,C052,P004,1,0.0,Standard
ORD-10102,2025-03-25,C020,P006,3,0.0,Same Day
ORD-10103,2025-03-26,C057,P007,1,0.0,Express
ORD-10104,2025-03-28,C023,P006,3,0.0,Standard
ORD-10105,2025-03-28,C053,P009,1,0.05,Standard
ORD-10106,2025-03-29,C033,P007,2,0.05,Standard
ORD-10107,2025-03-29,C029,P004,4,0.0,Standard
ORD-10108,2025-03-29,C018,P004,1,0.0,Express
ORD-10109,2025-03-30,C051,P004,2,0.15,Standard
ORD-10110,2025-03-30,C004,P002,3,0.1,Standard
ORD-10111,2025-03-30,C029,P002,2,0.0,Standard
ORD-10112,2025-04-01,C023,P010,2,0.0,Standard
ORD-10113,2025-04-02,C033,P004,1,0.0,Express
ORD-10114,2025-04-02,C016,P003,4,0.15,Standard
ORD-10115,2025-04-02,C040,P007,2,0.0,Express
ORD-10116,2025-04-03,C024,P010,4,0.0,Same Day
ORD-10117,2025-04-04,C012,P003,3,0.15,Standard
ORD-10118,2025-04-04,C012,P010,8,0.05,Standard
ORD-10119,2025-04-04,C042,P012,1,0.0,Standard
ORD-10120,2025-04-04,C016,P008,1,0.0,Standard
ORD-10121,2025-04-05,C019,P009,2,0.0,Standard
ORD-10122,2025-04-05,C038,P001,1,0.05,Same Day
ORD-10123,2025-04-06,C020,P012,4,0.0,Express
ORD-10124,2025-04-06,C024,P004,2,0.15,Standard
ORD-10125,2025-04-07,C015,P012,5,0.15,Express
ORD-10126,2025-04-07,C021,P007,1,0.0,Standard
ORD-10127,2025-04-08,C042,P001,2,0.05,Express
ORD-10128,2025-04-08,C033,P001,1,0.0,Standard
ORD-10129,2025-04-09,C060,P009,1,0.0,Express
ORD-10130,2025-04-09,C047,P007,2,0.05,Same Day
ORD-10131,2025-04-09,C002,P001,2,0.0,Express
ORD-10132,2025-04-10,C023,P010,9,0.0,Express
ORD-10133,2025-04-10,C018,P011,1,0.0,Standard
ORD-10134,2025-04-12,C036,P006,1,0.0,Express
ORD-10135,2025-04-12,C016,P006,3,0.0,Standard
ORD-10136,2025-04-13,C058,P001,2,0.05,Express
ORD-10137,2025-04-13,C018,P010,5,0.1,Standard
ORD-10138,2025-04-14,C032,P004,4,0.05,Standard
ORD-10139,2025-04-14,C008,P011,6,0.1,Standard
ORD-10140,2025-04-14,C055,P004,4,0.0,Standard
ORD-10141,2025-04-16,C055,P007,2,0.1,Express
ORD-10142,2025-04-16,C048,P003,4,0.0,Express
ORD-10143,2025-04-16,C022,P002,2,0.0,Same Day
ORD-10144,2025-04-18,C004,P010,7,0.15,Standard
ORD-10145,2025-04-18,C043,P006,3,0.0,Same Day
ORD-10146,2025-04-18,C026,P007,2,0.0,Standard
ORD-10147,2025-04-19,C060,P012,3,0.0,Standard
ORD-10148,2025-04-19,C042,P012,4,0.0,Express
ORD-10149,2025-04-19,C033,P011,5,0.0,Standard
ORD-10150,2025-04-19,C060,P003,5,0.0,Standard
ORD-10151,2025-04-20,C049,P008,3,0.1,Standard
ORD-10152,2025-04-20,C028,P011,1,0.0,Standard
ORD-10153,2025-04-21,C002,P004,3,0.0,Express
ORD-10154,2025-04-22,C006,P002,1,0.0,Standard
ORD-10155,2025-04-23,C027,P010,1,0.1,Standard
ORD-10156,2025-04-23,C034,P006,1,0.0,Standard
ORD-10157,2025-04-23,C002,P007,2,0.0,Standard
ORD-10158,2025-04-23,C008,P012,5,0.0,Express
ORD-10159,2025-04-24,C043,P008,3,0.05,Same Day
ORD-10160,2025-04-25,C046,P005,1,0.1,Express
ORD-10161,2025-04-25,C002,P004,1,0.05,Express
ORD-10162,2025-04-26,C031,P005,2,0.1,Standard
ORD-10163,2025-04-26,C005,P002,1,0.0,Express
ORD-10164,2025-04-27,C044,P010,9,0.0,Standard
ORD-10165,2025-04-28,C051,P011,5,0.0,Standard
ORD-10166,2025-04-28,C053,P003,5,0.0,Express
ORD-10167,2025-04-29,C036,P003,2,0.0,Standard
ORD-10168,2025-04-30,C038,P011,1,0.0,Express
ORD-10169,2025-04-30,C056,P001,1,0.0,Express
ORD-10170,2025-04-30,C037,P006,4,0.05,Same Day
ORD-10171,2025-04-30,C027,P006,1,0.0,Standard
ORD-10172,2025-04-30,C046,P010,9,0.05,Standard
ORD-10173,2025-04-30,C036,P002,1,0.05,Express
ORD-10174,2025-05-01,C051,P009,1,0.0,Standard
ORD-10175,2025-05-01,C032,P004,1,0.0,Standard
ORD-10176,2025-05-03,C053,P008,4,0.05,Express
ORD-10177,2025-05-05,C003,P001,2,0.05,Same Day
ORD-10178,2025-05-06,C003,P006,2,0.0,Express
ORD-10179,2025-05-07,C006,P006,3,0.0,Standard
ORD-10180,2025-05-07,C034,P003,4,0.05,Standard
ORD-10181,2025-05-07,C043,P002,2,0.05,Standard
ORD-10182,2025-05-08,C013,P003,3,0.0,Standard
ORD-10183,2025-05-09,C010,P004,1,0.0,Standard
ORD-10184,2025-05-09,C052,P002,1,0.1,Standard
ORD-10185,2025-05-09,C046,P012,3,0.0,Standard
ORD-10186,2025-05-09,C039,P005,1,0.1,Standard
ORD-10187,2025-05-10,C030,P010,5,0.0,Standard
ORD-10188,2025-05-11,C026,P012,1,0.0,Standard
ORD-10189,2025-05-13,C002,P002,3,0.0,Standard
ORD-10190,2025-05-14,C012,P009,1,0.0,Express
ORD-10191,2025-05-14,C054,P011,1,0.15,Standard
ORD-10192,2025-05-14,C021,P008,3,0.0,Express
ORD-10193,2025-05-15,C043,P005,1,0.15,Standard
ORD-10194,2025-05-16,C043,P005,1,0.0,Standard
ORD-10195,2025-05-17,C019,P001,1,0.1,Standard
ORD-10196,2025-05-17,C013,P007,1,0.15,Standard
ORD-10197,2025-05-17,C042,P012,4,0.05,Standard
ORD-10198,2025-05-18,C006,P012,4,0.0,Express
ORD-10199,2025-05-18,C030,P001,1,0.05,Same Day
ORD-10200,2025-05-19,C054,P010,7,0.0,Standard
ORD-10201,2025-05-19,C043,P003,4,0.15,Standard
ORD-10202,2025-05-20,C046,P011,4,0.0,Express
ORD-10203,2025-05-20,C005,P001,2,0.0,Standard
ORD-10204,2025-05-22,C012,P012,5,0.0,Standard
ORD-10205,2025-05-23,C017,P011,3,0.05,Express
ORD-10206,2025-05-23,C018,P002,2,0.15,Standard
ORD-10207,2025-05-25,C012,P001,2,0.0,Express
ORD-10208,2025-05-25,C059,P011,6,0.05,Standard
ORD-10209,2025-05-25,C010,P002,3,0.15,Standard
ORD-10210,2025-05-28,C043,P007,1,0.0,Standard
ORD-10211,2025-05-28,C036,P011,3,0.0,Express
ORD-10212,2025-05-29,C037,P007,2,0.05,Standard
ORD-10213,2025-05-31,C013,P004,1,0.05,Express
ORD-10214,2025-05-31,C019,P005,2,0.0,Express
ORD-10215,2025-06-01,C037,P001,2,0.1,Express
ORD-10216,2025-06-01,C018,P012,5,0.0,Standard
ORD-10217,2025-06-02,C042,P004,1,0.15,Standard
ORD-10218,2025-06-03,C003,P003,3,0.1,Standard
ORD-10219,2025-06-04,C005,P003,3,0.1,Standard
ORD-10220,2025-06-04,C044,P012,4,0.0,Same Day
ORD-10221,2025-06-04,C038,P002,3,0.0,Standard
ORD-10222,2025-06-04,C003,P011,3,0.0,Express
ORD-10223,2025-06-04,C054,P010,6,0.0,Standard
ORD-10224,2025-06-06,C001,P011,5,0.05,Standard
ORD-10225,2025-06-08,C058,P012,4,0.0,Standard
ORD-10226,2025-06-08,C044,P011,5,0.0,Express
ORD-10227,2025-06-08,C060,P012,2,0.0,Standard
ORD-10228,2025-06-09,C057,P002,3,0.0,Standard
ORD-10229,2025-06-09,C019,P010,1,0.0,Express
ORD-10230,2025-06-11,C046,P007,1,0.05,Standard
ORD-10231,2025-06-11,C013,P007,2,0.1,Standard
ORD-10232,2025-06-14,C029,P011,1,0.0,Standard
ORD-10233,2025-06-15,C015,P012,3,0.1,Standard
ORD-10234,2025-06-16,C030,P010,6,0.1,Standard
ORD-10235,2025-06-16,C053,P006,3,0.0,Standard
ORD-10236,2025-06-21,C027,P006,1,0.05,Express
ORD-10237,2025-06-23,C006,P004,2,0.0,Standard
ORD-10238,2025-06-24,C020,P004,1,0.0,Standard
ORD-10239,2025-06-25,C048,P004,3,0.0,Standard
ORD-10240,2025-06-26,C032,P002,1,0.0,Standard
ORD-10241,2025-06-26,C034,P002,2,0.1,Standard
ORD-10242,2025-06-26,C026,P010,8,0.15,Standard
ORD-10243,2025-06-27,C018,P005,2,0.1,Standard
ORD-10244,2025-06-27,C036,P012,1,0.05,Standard
ORD-10245,2025-06-29,C038,P008,4,0.05,Same Day
ORD-10246,2025-06-29,C054,P001,1,0.15,Express
ORD-10247,2025-06-29,C038,P002,1,0.0,Standard
ORD-10248,2025-06-30,C060,P003,1,0.0,Standard
ORD-10249,2025-07-01,C050,P012,2,0.05,Standard
ORD-10250,2025-07-01,C005,P003,5,0.0,Express
ORD-10251,2025-07-02,C024,P006,1,0.0,Standard
ORD-10252,2025-07-02,C024,P012,4,0.0,Standard
ORD-10253,2025-07-02,C001,P012,3,0.05,Standard
ORD-10254,2025-07-03,C011,P003,1,0.0,Standard
ORD-10255,2025-07-03,C046,P001,1,0.0,Standard
ORD-10256,2025-07-03,C022,P002,1,0.0,Express
ORD-10257,2025-07-04,C009,P001,1,0.0,Same Day
ORD-10258,2025-07-04,C018,P003,3,0.1,Standard
ORD-10259,2025-07-05,C017,P007,2,0.0,Standard
ORD-10260,2025-07-05,C011,P011,2,0.05,Standard
ORD-10261,2025-07-06,C007,P007,2,0.1,Standard
ORD-10262,2025-07-06,C046,P008,3,0.0,Standard
ORD-10263,2025-07-07,C050,P003,2,0.1,Standard
ORD-10264,2025-07-07,C030,P010,5,0.05,Express
ORD-10265,2025-07-10,C037,P008,1,0.05,Same Day
ORD-10266,2025-07-10,C056,P011,6,0.0,Express
ORD-10267,2025-07-10,C051,P012,4,0.0,Express
ORD-10268,2025-07-10,C002,P004,2,0.15,Standard
ORD-10269,2025-07-10,C058,P002,3,0.1,Standard
ORD-10270,2025-07-11,C005,P003,4,0.15,Standard
ORD-10271,2025-07-11,C002,P005,2,0.15,Standard
ORD-10272,2025-07-13,C025,P012,1,0.0,Standard
ORD-10273,2025-07-13,C045,P004,4,0.1,Express
ORD-10274,2025-07-14,C005,P010,10,0.0,Standard
ORD-10275,2025-07-15,C018,P007,2,0.1,Standard
ORD-10276,2025-07-16,C016,P003,5,0.0,Standard
ORD-10277,2025-07-18,C024,P004,4,0.0,Same Day
ORD-10278,2025-07-19,C060,P009,2,0.1,Standard
ORD-10279,2025-07-22,C020,P009,1,0.1,Standard
ORD-10280,2025-07-22,C013,P005,1,0.05,Standard
ORD-10281,2025-07-22,C008,P003,2,0.0,Express
ORD-10282,2025-07-24,C012,P010,3,0.0,Same Day
ORD-10283,2025-07-25,C008,P002,3,0.15,Standard
ORD-10284,2025-07-25,C035,P012,5,0.0,Same Day
ORD-10285,2025-07-27,C026,P003,3,0.0,Standard
ORD-10286,2025-07-27,C030,P002,3,0.05,Express
ORD-10287,2025-07-27,C050,P006,1,0.0,Standard
ORD-10288,2025-07-29,C035,P006,1,0.05,Standard
ORD-10289,2025-07-29,C010,P006,4,0.0,Express
ORD-10290,2025-07-31,C023,P005,1,0.1,Standard
ORD-10291,2025-07-31,C019,P012,3,0.15,Standard
ORD-10292,2025-07-31,C050,P006,2,0.15,Express
ORD-10293,2025-08-01,C019,P006,1,0.05,Same Day
ORD-10294,2025-08-01,C009,P005,2,0.0,Standard
ORD-10295,2025-08-02,C045,P001,2,0.05,Express
ORD-10296,2025-08-03,C026,P008,3,0.1,Express
ORD-10297,2025-08-03,C006,P003,2,0.05,Standard
ORD-10298,2025-08-04,C042,P008,3,0.05,Express
ORD-10299,2025-08-06,C013,P001,2,0.05,Standard
ORD-10300,2025-08-07,C053,P012,4,0.05,Express
ORD-10301,2025-08-07,C050,P006,2,0.05,Standard
ORD-10302,2025-08-08,C023,P011,2,0.0,Standard
ORD-10303,2025-08-08,C034,P006,3,0.0,Standard
ORD-10304,2025-08-08,C035,P001,1,0.05,Standard
ORD-10305,2025-08-09,C040,P010,7,0.0,Express
ORD-10306,2025-08-10,C005,P009,1,0.1,Same Day
ORD-10307,2025-08-11,C020,P010,2,0.05,Standard
ORD-10308,2025-08-12,C011,P005,2,0.0,Standard
ORD-10309,2025-08-12,C042,P008,2,0.1,Standard
ORD-10310,2025-08-12,C005,P011,3,0.05,Standard
ORD-10311,2025-08-12,C032,P008,3,0.1,Standard
ORD-10312,2025-08-13,C044,P004,2,0.0,Express
ORD-10313,2025-08-14,C057,P009,2,0.1,Express
ORD-10314,2025-08-14,C018,P009,1,0.0,Standard
ORD-10315,2025-08-16,C001,P012,4,0.05,Standard
ORD-10316,2025-08-18,C044,P004,1,0.0,Express
ORD-10317,2025-08-18,C001,P005,1,0.05,Standard
ORD-10318,2025-08-18,C004,P010,6,0.05,Standard
ORD-10319,2025-08-19,C060,P006,4,0.05,Standard
ORD-10320,2025-08-20,C052,P010,3,0.0,Standard
ORD-10321,2025-08-21,C043,P006,3,0.1,Standard
ORD-10322,2025-08-21,C051,P003,1,0.05,Express
ORD-10323,2025-08-22,C005,P010,1,0.0,Standard
ORD-10324,2025-08-22,C006,P002,3,0.15,Standard
ORD-10325,2025-08-22,C019,P003,4,0.05,Standard
ORD-10326,2025-08-23,C002,P008,2,0.15,Express
ORD-10327,2025-08-23,C054,P010,7,0.15,Standard
ORD-10328,2025-08-23,C004,P011,3,0.15,Standard
ORD-10329,2025-08-23,C033,P003,2,0.1,Standard
ORD-10330,2025-08-24,C052,P002,2,0.05,Standard
ORD-10331,2025-08-24,C045,P012,2,0.0,Standard
ORD-10332,2025-08-25,C015,P002,3,0.0,Express
ORD-10333,2025-08-25,C029,P003,3,0.1,Standard
ORD-10334,2025-08-25,C033,P003,2,0.0,Standard
ORD-10335,2025-08-26,C047,P006,3,0.1,Standard
ORD-10336,2025-08-26,C026,P011,5,0.0,Express
ORD-10337,2025-08-26,C018,P010,3,0.0,Express
ORD-10338,2025-08-28,C048,P010,10,0.0,Express
ORD-10339,2025-08-29,C054,P003,3,0.0,Standard
ORD-10340,2025-08-29,C030,P004,3,0.0,Express
ORD-10341,2025-08-30,C002,P006,4,0.0,Express
ORD-10342,2025-08-31,C031,P002,2,0.1,Standard
ORD-10343,2025-09-02,C054,P003,1,0.0,Standard
ORD-10344,2025-09-02,C060,P003,4,0.0,Express
ORD-10345,2025-09-03,C025,P002,1,0.0,Standard
ORD-10346,2025-09-03,C010,P007,1,0.0,Express
ORD-10347,2025-09-04,C035,P010,10,0.0,Standard
ORD-10348,2025-09-06,C050,P001,1,0.05,Standard
ORD-10349,2025-09-06,C057,P006,3,0.1,Standard
ORD-10350,2025-09-06,C004,P010,6,0.0,Express
ORD-10351,2025-09-06,C018,P010,3,0.05,Express
ORD-10352,2025-09-07,C029,P010,4,0.0,Standard
ORD-10353,2025-09-07,C006,P005,2,0.0,Standard
ORD-10354,2025-09-08,C054,P010,2,0.1,Standard
ORD-10355,2025-09-08,C007,P003,3,0.0,Standard
ORD-10356,2025-09-08,C040,P004,2,0.1,Same Day
ORD-10357,2025-09-08,C056,P003,5,0.0,Standard
ORD-10358,2025-09-09,C042,P006,1,0.0,Standard
ORD-10359,2025-09-11,C046,P004,4,0.0,Standard
ORD-10360,2025-09-11,C016,P003,3,0.0,Same Day
ORD-10361,2025-09-12,C050,P010,7,0.15,Standard
ORD-10362,2025-09-15,C026,P004,3,0.0,Express
ORD-10363,2025-09-20,C004,P003,2,0.1,Standard
ORD-10364,2025-09-21,C022,P002,3,0.1,Standard
ORD-10365,2025-09-22,C021,P005,1,0.05,Express
ORD-10366,2025-09-23,C032,P003,1,0.0,Standard
ORD-10367,2025-09-23,C016,P004,4,0.0,Express
ORD-10368,2025-09-24,C028,P003,4,0.0,Standard
ORD-10369,2025-09-24,C026,P010,9,0.1,Express
ORD-10370,2025-09-24,C020,P012,3,0.0,Express
ORD-10371,2025-09-25,C042,P006,1,0.15,Express
ORD-10372,2025-09-25,C019,P009,1,0.05,Standard
ORD-10373,2025-09-27,C046,P011,3,0.0,Express
ORD-10374,2025-09-28,C016,P012,2,0.05,Same Day
ORD-10375,2025-09-28,C052,P008,4,0.0,Standard
ORD-10376,2025-09-28,C022,P011,1,0.15,Standard
ORD-10377,2025-09-29,C003,P011,6,0.0,Express
ORD-10378,2025-09-30,C009,P010,3,0.15,Standard
ORD-10379,2025-10-01,C049,P006,1,0.1,Express
ORD-10380,2025-10-01,C053,P002,1,0.1,Express
ORD-10381,2025-10-02,C013,P001,1,0.0,Standard
ORD-10382,2025-10-02,C037,P006,2,0.1,Standard
ORD-10383,2025-10-04,C035,P006,2,0.0,Standard
ORD-10384,2025-10-04,C009,P005,2,0.1,Standard
ORD-10385,2025-10-04,C028,P007,2,0.0,Express
ORD-10386,2025-10-06,C042,P007,1,0.0,Standard
ORD-10387,2025-10-07,C059,P011,1,0.0,Standard
ORD-10388,2025-10-08,C051,P002,1,0.0,Express
ORD-10389,2025-10-08,C006,P003,1,0.0,Standard
ORD-10390,2025-10-08,C015,P010,1,0.1,Express
ORD-10391,2025-10-09,C027,P011,2,0.0,Standard
ORD-10392,2025-10-09,C010,P012,3,0.05,Standard
ORD-10393,2025-10-09,C035,P011,2,0.0,Standard
ORD-10394,2025-10-09,C001,P011,2,0.1,Express
ORD-10395,2025-10-09,C007,P004,2,0.1,Express
ORD-10396,2025-10-09,C003,P005,2,0.0,Express
ORD-10397,2025-10-10,C018,P003,2,0.05,Same Day
ORD-10398,2025-10-10,C046,P008,1,0.15,Express
ORD-10399,2025-10-10,C011,P012,3,0.1,Express
ORD-10400,2025-10-11,C060,P004,1,0.0,Standard
ORD-10401,2025-10-11,C017,P007,1,0.0,Same Day
ORD-10402,2025-10-11,C003,P003,5,0.1,Express
ORD-10403,2025-10-12,C021,P002,2,0.0,Express
ORD-10404,2025-10-12,C045,P003,1,0.1,Standard
ORD-10405,2025-10-12,C007,P001,2,0.0,Standard
ORD-10406,2025-10-13,C005,P012,1,0.1,Express
ORD-10407,2025-10-13,C051,P005,1,0.0,Standard
ORD-10408,2025-10-14,C036,P011,1,0.0,Standard
ORD-10409,2025-10-15,C021,P009,2,0.15,Same Day
ORD-10410,2025-10-15,C046,P003,5,0.1,Standard
ORD-10411,2025-10-15,C051,P003,3,0.1,Standard
ORD-10412,2025-10-16,C022,P010,7,0.15,Standard
ORD-10412,2025-10-16,C022,P010,7,0.15,Standard
ORD-10413,2025-10-16,C034,P003,4,0.0,Standard
ORD-10414,2025-10-16,C001,P011,4,0.0,Express
ORD-10415,2025-10-17,C019,P002,2,0.0,Same Day
ORD-10416,2025-10-17,C036,P009,2,0.0,Same Day
ORD-10417,2025-10-17,C012,P010,8,0.0,Express
ORD-10418,2025-10-18,C060,P003,1,0.15,Express
ORD-10419,2025-10-18,C059,P003,2,0.0,Standard
ORD-10420,2025-10-19,C016,P012,5,0.0,Express
ORD-10421,2025-10-19,C024,P003,3,0.0,Standard
ORD-10422,2025-10-19,C012,P005,1,0.0,Standard
ORD-10423,2025-10-20,C031,P005,2,0.0,Same Day
ORD-10424,2025-10-20,C008,P003,4,0.05,Express
ORD-10425,2025-10-20,C024,P010,6,0.0,Standard
ORD-10426,2025-10-21,C034,P010,5,0.05,Express
ORD-10427,2025-10-21,C037,P004,1,0.1,Standard
ORD-10428,2025-10-21,C036,P011,3,0.05,Standard
ORD-10429,2025-10-21,C014,P003,3,0.05,Standard
ORD-10430,2025-10-22,C048,P001,2,0.0,Standard
ORD-10431,2025-10-23,C042,P007,1,0.0,Standard
ORD-10432,2025-10-23,C046,P012,1,0.0,Standard
ORD-10433,2025-10-24,C029,P001,1,0.15,Standard
ORD-10434,2025-10-25,C054,P003,5,0.05,Standard
ORD-10435,2025-10-26,C024,P006,2,0.0,Same Day
ORD-10436,2025-10-26,C049,P010,4,0.0,Express
ORD-10437,2025-10-27,C013,P002,3,0.1,Express
ORD-10438,2025-10-27,C015,P004,3,0.05,Standard
ORD-10439,2025-10-28,C032,P010,3,0.05,Express
ORD-10440,2025-10-29,C034,P004,4,0.1,Express
ORD-10441,2025-10-29,C045,P003,3,0.05,Standard
ORD-10442,2025-10-29,C018,P003,1,0.05,Standard
ORD-10443,2025-10-30,C053,P005,1,0.0,Standard
ORD-10444,2025-10-30,C020,P006,4,0.0,Standard
ORD-10445,2025-10-30,C033,P011,3,0.15,Standard
ORD-10446,2025-10-31,C056,P009,2,0.05,Standard
ORD-10447,2025-11-01,C033,P010,7,0.0,Standard
ORD-10448,2025-11-03,C041,P012,4,0.05,Express
ORD-10449,2025-11-03,C055,P005,2,0.0,Standard
ORD-10450,2025-11-04,C059,P005,1,0.1,Standard
ORD-10451,2025-11-04,C030,P012,3,0.0,Express
ORD-10452,2025-11-06,C026,P003,3,0.1,Standard
ORD-10453,2025-11-06,C012,P010,2,0.0,Standard
ORD-10454,2025-11-06,C033,P010,7,0.0,Standard
ORD-10455,2025-11-06,C056,P002,1,0.0,Standard
ORD-10456,2025-11-06,C030,P006,2,0.1,Standard
ORD-10457,2025-11-07,C021,P003,2,0.0,Standard
ORD-10458,2025-11-08,C007,P003,1,0.0,Standard
ORD-10459,2025-11-08,C024,P006,4,0.1,Same Day
ORD-10460,2025-11-08,C015,P003,2,0.0,Same Day
ORD-10461,2025-11-09,C059,P010,3,0.0,Standard
ORD-10462,2025-11-09,C032,P011,6,0.0,Standard
ORD-10463,2025-11-09,C009,P010,9,0.1,Standard
ORD-10464,2025-11-10,C005,P003,1,0.0,Express
ORD-10465,2025-11-11,C052,P003,2,0.0,Express
ORD-10466,2025-11-11,C056,P003,4,0.0,Standard
