Order Date,Region,Category,Sales,Profit,Quantity,Discount
2025-02-26,North,Electronics,3678.01,1110.31,11,0.15
2025-03-01,North,Electronics,2249.41,294.34,14,0.2
2025-03-02,South,Furniture,8288.86,1739.49,17,0.0
2025-03-05,South,Groceries,1339.23,284.07,4,0.2
2025-03-07,North,Furniture,3306.96,1132.49,16,0.1
2025-03-12,South,Groceries,2474.17,368.11,12,0.1
2025-03-15,West,Groceries,664.3,141.14,10,0.0
2025-03-19,East,Groceries,893.56,157.29,5,0.2
2025-03-20,East,Clothing,3438.85,1412.35,14,0.2
2025-03-22,North,Groceries,1037.83,73.11,3,0.2
2025-03-22,East,Clothing,3336.48,1833.35,8,0.0
2025-03-24,North,Groceries,3892.19,1152.85,12,0.05
2025-03-26,North,Clothing,1030.61,200.52,8,0.1
2025-03-29,West,Groceries,4078.8,-252.51,20,0.1
2025-03-29,North,Furniture,7553.7,1582.72,18,0.0
2025-03-30,East,Groceries,1956.02,80.12,8,0.1
2025-04-01,South,Groceries,1952.25,196.27,15,0.05
2025-04-06,West,Clothing,222.16,91.64,2,0.1
2025-04-07,North,Furniture,5010.36,1281.39,12,0.0
2025-04-09,North,Electronics,2851.49,178.25,9,0.2
2025-04-10,East,Clothing,3363.57,844.21,19,0.1
2025-04-10,East,Groceries,5115.1,831.99,18,0.15
2025-04-12,South,Groceries,6719.35,2132.12,17,0.2
2025-04-13,East,Furniture,187.65,42.9,1,0.2
2025-04-18,West,Furniture,1478.62,332.02,7,0.2
2025-04-20,North,Stationery,3676.48,385.06,8,0.0
2025-04-25,South,Clothing,7951.94,1360.35,19,0.15
2025-04-28,South,Groceries,1382.88,100.74,18,0.05
2025-04-29,East,Furniture,1051.33,525.62,7,0.0
2025-05-13,East,Furniture,1303.55,447.56,8,0.2
2025-05-14,South,Clothing,2950.72,662.19,14,0.15
2025-05-15,South,Groceries,3673.76,1291.05,16,0.0
2025-05-18,North,Stationery,134.96,14.1,2,0.2
2025-05-21,West,Electronics,1657.35,169.48,5,0.0
2025-05-24,East,Stationery,3079.58,826.09,9,0.15
2025-05-25,East,Stationery,1633.96,365.94,9,0.15
2025-05-25,West,Furniture,936.72,203.81,7,0.05
2025-05-26,North,Stationery,2320.33,76.05,19,0.05
2025-05-27,South,Stationery,1571.58,298.8,4,0.1
2025-05-29,East,Electronics,5818.64,-200.87,13,0.1
2025-05-29,East,Furniture,750.46,265.5,15,0.15
2025-05-29,South,Furniture,795.39,57.29,17,0.05
2025-06-01,West,Furniture,1369.18,352.23,4,0.2
2025-06-02,East,Furniture,5781.16,-623.3,14,0.0
2025-06-03,South,Electronics,1918.08,563.62,16,0.0
2025-06-05,West,Furniture,820.69,186.41,2,0.05
2025-06-06,South,Clothing,4177.19,-517.02,12,0.05
2025-06-07,West,Electronics,357.74,-42.26,3,0.2
2025-06-09,North,Groceries,1612.42,545.11,17,0.2
2025-06-20,North,Groceries,3566.68,1789.02,10,0.05
2025-06-21,East,Furniture,977.51,262.0,7,0.1
2025-06-22,North,Groceries,426.09,38.33,16,0.15
2025-06-23,North,Clothing,1261.57,93.17,20,0.15
2025-06-24,West,Furniture,1264.4,448.2,10,0.0
2025-06-27,North,Stationery,2743.62,269.81,11,0.0
2025-06-30,North,Groceries,5444.45,984.18,19,0.0
2025-07-06,East,Stationery,7390.4,143.12,17,0.05
2025-07-07,North,Electronics,585.77,190.55,5,0.05
2025-07-09,North,Clothing,58.77,-2.46,2,0.15
2025-07-10,East,Stationery,188.09,51.11,17,0.2
2025-07-12,North,Clothing,4533.95,490.23,19,0.15
2025-07-13,East,Electronics,6255.15,1232.44,15,0.15
2025-07-15,North,Clothing,903.92,122.16,10,0.2
2025-07-17,North,Groceries,443.1,-8.01,3,0.1
2025-07-17,East,Clothing,1927.12,84.01,15,0.1
2025-07-20,South,Clothing,2757.33,881.5,10,0.1
2025-07-21,South,Stationery,108.16,49.52,8,0.0
2025-07-21,North,Stationery,568.78,80.83,4,0.05
2025-07-23,North,Stationery,309.1,1.45,7,0.15
2025-07-26,East,Furniture,5619.38,1584.33,13,0.0
2025-07-28,North,Stationery,195.94,28.31,9,0.1
2025-07-28,North,Furniture,1348.25,439.98,3,0.05
2025-08-01,East,Clothing,2130.47,493.29,7,0.1
2025-08-02,West,Furniture,1865.35,358.67,5,0.0
2025-08-08,West,Electronics,373.54,12.62,14,0.15
2025-08-10,East,Groceries,3432.62,326.29,16,0.05
2025-08-11,East,Clothing,415.81,75.66,1,0.15
2025-08-12,West,Groceries,314.15,64.77,7,0.05
2025-08-13,West,Electronics,6166.18,1870.71,16,0.05
2025-08-13,North,Electronics,3594.34,746.53,16,0.15
2025-08-16,West,Stationery,3030.66,933.03,20,0.1
2025-08-16,West,Electronics,3697.65,4.82,15,0.1
2025-08-17,North,Groceries,5632.74,-0.25,19,0.1
2025-08-25,East,Furniture,798.17,210.81,6,0.05
2025-09-01,East,Groceries,862.78,-3.99,4,0.1
2025-09-02,West,Stationery,4372.47,-139.24,9,0.0
2025-09-04,North,Groceries,3364.02,1265.11,11,0.0
2025-09-05,South,Furniture,2972.87,1367.12,9,0.15
2025-09-10,East,Furniture,3477.56,1449.73,15,0.15
2025-09-11,West,Stationery,2036.94,264.45,5,0.15
2025-09-12,South,Stationery,2549.79,485.19,13,0.15
2025-09-13,West,Electronics,6499.37,584.32,18,0.05
2025-09-13,East,Groceries,3229.9,625.84,15,0.05
2025-09-21,West,Clothing,79.51,8.43,2,0.15
2025-09-27,East,Electronics,1810.68,1064.73,4,0.0
2025-09-30,East,Furniture,2197.16,-467.91,10,0.15
2025-10-04,South,Groceries,699.21,30.62,20,0.15
2025-10-08,South,Electronics,920.19,257.03,3,0.15
2025-10-10,North,Groceries,2100.36,975.66,6,0.0
2025-10-14,East,Stationery,4566.38,1173.51,16,0.1
2025-10-14,East,Electronics,3574.08,820.93,15,0.15
2025-10-15,East,Groceries,2576.14,433.91,9,0.15
2025-10-16,South,Electronics,3682.85,-124.16,12,0.2
2025-10-16,North,Furniture,1111.5,282.88,9,0.05
2025-10-22,North,Stationery,4393.82,1361.48,20,0.15
2025-10-26,West,Furniture,161.1,-7.61,5,0.0
2025-10-27,West,Electronics,4481.1,1830.33,15,0.0
2025-10-28,East,Stationery,5960.42,1126.73,18,0.15
2025-11-02,East,Clothing,1365.71,-154.07,4,0.15
2025-11-08,South,Groceries,1051.99,138.54,4,0.05
2025-11-10,East,Groceries,4133.3,1234.43,18,0.15
2025-11-11,West,Electronics,4910.62,948.03,20,0.15
2025-11-16,South,Clothing,2374.86,910.61,6,0.0
2025-11-25,West,Clothing,2625.34,-23.98,9,0.2
2025-11-26,North,Clothing,411.72,99.12,3,0.2
2025-11-27,North,Stationery,3131.54,1252.14,9,0.1
2025-11-30,South,Groceries,1294.1,74.58,19,0.15
